Milliseconds,Pressure,Temperature,NH3,CO,NO2
249380,101788.00,31.00,124,60,60
249702,101788.00,31.00,124,60,60
250022,101788.00,31.00,124,60,60
250344,101787.00,31.00,124,60,60
250664,101788.00,31.00,124,60,60
250986,101791.00,31.00,124,60,60
251307,101787.00,31.00,124,60,60
251630,101788.00,31.00,124,60,60
251952,101784.00,31.00,124,60,60
252273,101787.00,31.00,124,60,60
252594,101780.00,31.00,124,60,60
252915,101785.00,31.00,124,60,60
253237,101778.00,31.00,124,60,60
253563,101783.00,31.00,124,60,60
253885,101790.00,31.00,124,60,60
254206,101782.00,31.00,124,60,60
254528,101786.00,31.00,124,60,60
254849,101787.00,31.00,124,60,60
255170,101786.00,31.10,124,60,60
255491,101789.00,31.10,124,60,60
255812,101789.00,31.10,124,60,60
256134,101776.00,31.00,124,60,60
256457,101780.00,31.00,124,60,60
256779,101778.00,31.00,124,60,60
257099,101780.00,31.10,124,60,60
257421,101781.00,31.10,124,60,60
257741,101782.00,31.10,124,60,60
258063,101783.00,31.10,124,60,60
258384,101782.00,31.10,124,60,60
258705,101789.00,31.10,124,60,60
259026,101786.00,31.10,124,60,60
259347,101781.00,31.10,124,60,60
259668,101780.00,31.10,124,60,60
259990,101781.00,31.10,124,60,60
260311,101780.00,31.10,124,60,60
260632,101780.00,31.10,124,60,60
260954,101777.00,31.10,124,60,60
261277,101782.00,31.10,124,60,60
261599,101785.00,31.10,124,60,60
261919,101787.00,31.10,124,60,60
262241,101787.00,31.10,124,60,60
262562,101784.00,31.10,124,60,60
262883,101782.00,31.10,124,60,60
263211,101780.00,31.10,124,60,60
263532,101781.00,31.10,124,60,60
263853,101784.00,31.10,124,60,60
264174,101788.00,31.10,124,60,60
264496,101784.00,31.10,124,60,60
264816,101782.00,31.10,124,60,60
265138,101789.00,31.10,124,60,60
265458,101789.00,31.10,124,60,60
265780,101785.00,31.10,124,60,60
266103,101791.00,31.20,124,60,60
266425,101790.00,31.20,124,60,60
266745,101790.00,31.20,124,60,60
267067,101791.00,31.20,124,60,60
267388,101789.00,31.20,124,60,60
267709,101797.00,31.20,124,60,60
268030,101794.00,31.20,124,60,60
268352,101793.00,31.20,124,60,60
268673,101792.00,31.20,123,60,60
268994,101793.00,31.20,123,60,60
269315,101791.00,31.20,123,60,60
269636,101793.00,31.20,123,60,60
269957,101790.00,31.20,123,60,60
270278,101792.00,31.20,124,60,60
270600,101793.00,31.20,123,60,60
270923,101793.00,31.20,124,60,60
271245,101790.00,31.20,124,60,60
271565,101788.00,31.20,124,60,60
271887,101791.00,31.20,123,60,60
272207,101789.00,31.20,124,60,60
272529,101789.00,31.20,123,60,60
272856,101790.00,31.20,124,60,60
273178,101788.00,31.20,124,60,60
273499,101790.00,31.20,124,60,60
273820,101792.00,31.20,123,60,60
274142,101793.00,31.20,123,60,60
274462,101791.00,31.20,123,60,60
274784,101789.00,31.20,124,60,60
275104,101791.00,31.20,124,60,60
275426,101788.00,31.20,124,60,60
275749,101792.00,31.30,124,60,60
276071,101789.00,31.30,124,60,60
276392,101791.00,31.30,124,60,60
276713,101794.00,31.30,124,60,60
277035,101791.00,31.30,123,60,60
277355,101791.00,31.30,124,60,60
277677,101788.00,31.30,124,60,60
277998,101789.00,31.30,123,60,60
278319,101793.00,31.30,123,60,60
278640,101793.00,31.30,123,60,60
278961,101788.00,31.30,123,60,60
279282,101788.00,31.30,123,60,60
279604,101787.00,31.30,123,60,60
279924,101788.00,31.30,123,60,60
280246,101790.00,31.30,123,60,60
280569,101793.00,31.30,123,60,60
280890,101788.00,31.30,123,60,60
281211,101790.00,31.30,123,60,60
281532,101790.00,31.30,123,60,60
281853,101791.00,31.30,123,60,60
282174,101792.00,31.30,123,60,60
282502,101792.00,31.30,123,60,60
282823,101790.00,31.30,123,60,60
283144,101787.00,31.30,123,60,60
283465,101788.00,31.30,123,60,60
283786,101790.00,31.30,123,60,60
284107,101791.00,31.30,123,60,60
284428,101792.00,31.30,123,60,60
284749,101790.00,31.30,123,60,60
285070,101793.00,31.30,123,60,60
285404,101790.00,31.30,123,60,60
285727,101792.00,31.30,123,60,60
286050,101794.00,31.30,123,60,60
286373,101792.00,31.30,123,60,61
286697,101792.00,31.30,123,60,60
287020,101794.00,31.30,123,60,60
287343,101791.00,31.30,123,60,60
287667,101789.00,31.30,123,60,60
287989,101792.00,31.40,123,60,60
288313,101790.00,31.40,123,60,60
288635,101788.00,31.40,123,60,60
288959,101787.00,31.40,122,60,60
289283,101791.00,31.40,122,60,60
289605,101788.00,31.40,122,60,61
289929,101791.00,31.40,122,60,60
290254,101794.00,31.40,122,60,60
290578,101793.00,31.40,122,60,60
290902,101790.00,31.40,122,60,60
291225,101789.00,31.40,122,60,60
291548,101797.00,31.40,122,60,60
291877,101795.00,31.40,122,60,60
292202,101790.00,31.40,122,60,60
292525,101791.00,31.40,122,60,60
292848,101791.00,31.40,122,60,60
293172,101789.00,31.40,122,60,60
293495,101791.00,31.40,122,60,60
293818,101794.00,31.40,122,60,60
294141,101791.00,31.40,122,60,60
294465,101793.00,31.40,122,60,60
294789,101789.00,31.40,122,60,60
295114,101787.00,31.40,122,60,60
295438,101785.00,31.40,122,60,60
295761,101792.00,31.40,122,60,60
296084,101793.00,31.40,122,60,60
296408,101790.00,31.40,122,60,60
296731,101794.00,31.40,122,60,60
297055,101795.00,31.40,122,60,60
297378,101795.00,31.40,122,60,60
297701,101792.00,31.40,122,60,60
298024,101792.00,31.40,122,60,60
298348,101794.00,31.50,122,60,60
298672,101793.00,31.50,122,60,60
298994,101794.00,31.50,122,60,60
299318,101792.00,31.50,122,60,60
299641,101793.00,31.50,122,60,60
299967,101796.00,31.50,122,60,60
300291,101791.00,31.50,122,60,60
300614,101793.00,31.50,121,60,60
300938,101791.00,31.50,121,60,60
301260,101796.00,31.50,121,60,60
301590,101793.00,31.50,121,60,60
301914,101797.00,31.50,121,60,60
302237,101797.00,31.50,121,60,60
302561,101795.00,31.50,121,60,60
302884,101797.00,31.50,121,60,60
303207,101794.00,31.50,121,60,60
303531,101796.00,31.50,121,60,60
303854,101792.00,31.50,121,60,60
304178,101795.00,31.50,121,60,60
304500,101795.00,31.50,121,60,60
304827,101792.00,31.50,121,60,60
305149,101793.00,31.50,121,60,60
305473,101790.00,31.50,121,60,60
305797,101793.00,31.50,121,60,60
306120,101792.00,31.50,121,60,61
306443,101795.00,31.50,121,61,60
306766,101796.00,31.50,121,61,60
307090,101793.00,31.50,121,60,60
307414,101794.00,31.50,121,60,60
307736,101796.00,31.50,121,61,61
308060,101794.00,31.50,121,60,61
308383,101791.00,31.50,121,61,60
308707,101796.00,31.50,121,60,61
309029,101794.00,31.50,121,61,60
309353,101797.00,31.50,121,60,61
309680,101796.00,31.60,121,61,61
310002,101791.00,31.60,120,61,60
310326,101796.00,31.60,121,61,61
310649,101793.00,31.60,121,60,61
310973,101792.00,31.60,120,61,61
311302,101793.00,31.60,120,61,61
311626,101794.00,31.60,120,61,61
311950,101798.00,31.60,120,61,61
312272,101797.00,31.60,120,61,61
312596,101793.00,31.60,120,61,61
312920,101792.00,31.60,120,61,61
313243,101793.00,31.60,120,61,61
313566,101796.00,31.60,120,61,61
313889,101795.00,31.60,120,61,61
314213,101795.00,31.60,120,61,61
314539,101797.00,31.60,120,61,61
314862,101794.00,31.60,120,61,61
315186,101793.00,31.60,120,61,61
315509,101796.00,31.60,120,61,61
315832,101796.00,31.60,120,61,61
316155,101795.00,31.60,120,61,61
316479,101793.00,31.60,120,61,61
316803,101795.00,31.60,120,61,61
317125,101793.00,31.60,120,61,61
317449,101790.00,31.60,120,61,61
317772,101794.00,31.60,120,61,61
318096,101790.00,31.60,120,61,61
318418,101793.00,31.60,120,61,61
318742,101796.00,31.60,120,61,61
319066,101791.00,31.60,120,61,61
319391,101788.00,31.60,120,61,61
319715,101788.00,31.60,120,61,61
320037,101788.00,31.60,119,61,61
320361,101789.00,31.60,119,60,60
320685,101790.00,31.60,119,60,61
321013,101794.00,31.60,119,61,61
321337,101790.00,31.60,119,61,60
321660,101787.00,31.60,119,60,61
321984,101789.00,31.60,119,61,61
322307,101791.00,31.60,119,60,61
322630,101789.00,31.60,119,60,60
322954,101792.00,31.60,119,60,60
323276,101793.00,31.60,119,61,61
323600,101793.00,31.70,119,60,61
323923,101794.00,31.70,119,60,61
324249,101794.00,31.70,119,60,60
324572,101794.00,31.70,119,60,60
324895,101788.00,31.70,119,61,60
325219,101790.00,31.70,119,60,60
325541,101790.00,31.70,119,60,60
325865,101790.00,31.70,119,60,60
326189,101791.00,31.70,119,60,60
326511,101794.00,31.70,119,60,60
326835,101788.00,31.70,119,60,60
327158,101793.00,31.70,119,60,60
327481,101795.00,31.70,119,60,60
327804,101787.00,31.70,119,60,60
328128,101789.00,31.70,118,60,60
328451,101791.00,31.70,118,60,60
328774,101792.00,31.70,118,60,60
329097,101795.00,31.70,118,60,60
329418,101790.00,31.70,118,60,60
329742,101797.00,31.70,118,60,60
330065,101794.00,31.70,118,60,60
330388,101788.00,31.70,118,60,60
330712,101789.00,31.70,118,60,60
331041,101796.00,31.70,118,60,60
331365,101794.00,31.70,118,60,60
331688,101800.00,31.70,118,60,60
332012,101797.00,31.70,118,60,60
332335,101795.00,31.70,118,60,60
332658,101790.00,31.70,118,60,60
332982,101793.00,31.80,118,60,60
333305,101793.00,31.80,118,60,60
333629,101795.00,31.80,118,60,60
333952,101792.00,31.80,118,60,60
334278,101796.00,31.80,118,60,60
334602,101790.00,31.80,118,60,60
334924,101791.00,31.80,118,60,60
335248,101788.00,31.80,118,60,60
335571,101790.00,31.80,118,60,60
335895,101791.00,31.80,118,60,60
336218,101791.00,31.80,118,60,60
336541,101792.00,31.80,118,60,60
336865,101791.00,31.80,118,60,60
337188,101789.00,31.80,118,60,60
337511,101784.00,31.80,118,60,60
337835,101788.00,31.80,118,60,60
338158,101788.00,31.80,118,60,60
338482,101787.00,31.80,118,60,60
338804,101786.00,31.80,118,60,60
339131,101791.00,31.80,118,60,60
339454,101793.00,31.80,118,60,60
339777,101792.00,31.80,118,60,60
340101,101791.00,31.80,118,60,60
340424,101798.00,31.80,118,60,60
340753,101793.00,31.80,118,60,60
341078,101791.00,31.80,118,60,60
341401,101791.00,31.80,118,60,60
341724,101788.00,31.80,118,60,60
342047,101791.00,31.80,118,60,60
342371,101789.00,31.80,117,60,60
342694,101791.00,31.80,117,60,60
343017,101793.00,31.80,118,60,60
343341,101792.00,31.80,117,60,60
343664,101789.00,31.80,117,60,60
343990,101791.00,31.90,117,60,60
344313,101787.00,31.90,117,60,60
344637,101790.00,31.90,117,60,60
344961,101787.00,31.90,117,60,60
345283,101794.00,31.90,117,60,60
345607,101792.00,31.90,117,60,60
345930,101793.00,31.90,117,60,60
346254,101791.00,31.90,117,60,60
346576,101790.00,31.90,117,60,60
346900,101795.00,31.90,117,60,60
347224,101796.00,31.90,117,60,60
347546,101798.00,31.90,117,60,60
347870,101796.00,31.90,117,60,60
348193,101793.00,31.90,117,60,60
348517,101790.00,31.90,117,60,60
348843,101787.00,31.90,117,60,60
349166,101792.00,31.90,117,60,60
349490,101790.00,31.90,117,60,60
349813,101795.00,31.90,117,60,60
350136,101795.00,31.90,117,60,60
350466,101792.00,31.90,117,60,60
350789,101791.00,31.90,117,60,60
351113,101793.00,31.90,117,60,60
351436,101792.00,31.90,117,60,60
351760,101789.00,31.90,117,60,60
352083,101792.00,31.90,117,60,60
352406,101793.00,31.90,117,60,60
352730,101788.00,31.90,117,60,60
353053,101795.00,31.90,117,60,60
353377,101793.00,31.90,117,60,60
353702,101794.00,31.90,117,60,60
354026,101791.00,31.90,117,60,60
354350,101794.00,31.90,117,60,60
354672,101795.00,32.00,117,60,60
354996,101796.00,32.00,117,60,60
355319,101799.00,32.00,117,60,60
355643,101795.00,32.00,117,60,60
355966,101795.00,32.00,117,60,60
356289,101797.00,32.00,117,60,60
356613,101793.00,32.00,117,60,60
356936,101793.00,32.00,117,60,60
357259,101790.00,32.00,117,60,60
357582,101791.00,32.00,117,60,60
357906,101792.00,32.00,117,60,60
358230,101793.00,32.00,117,60,60
358555,101796.00,32.00,117,60,60
358879,101790.00,32.00,117,60,60
359201,101796.00,32.00,117,60,60
359525,101793.00,32.00,117,60,60
359848,101790.00,32.00,117,60,60
360177,101791.00,32.00,117,60,60
360501,101789.00,32.00,117,60,60
360824,101787.00,32.00,117,60,60
361148,101785.00,32.00,117,60,60
361470,101783.00,32.00,117,60,60
361794,101786.00,32.00,117,60,60
362118,101786.00,32.00,117,60,60
362440,101785.00,32.00,117,60,60
362764,101790.00,32.00,117,60,60
363087,101788.00,32.00,117,60,60
363413,101789.00,32.00,117,60,60
363737,101794.00,32.00,117,60,60
364059,101796.00,32.00,117,60,60
364383,101796.00,32.00,117,60,60
364705,101796.00,32.00,117,60,60
365029,101799.00,32.10,117,60,60
365352,101801.00,32.10,117,60,60
365675,101802.00,32.10,117,60,60
365999,101804.00,32.10,118,60,60
366322,101801.00,32.10,118,60,60
366645,101801.00,32.10,118,60,60
366968,101799.00,32.10,118,60,60
367292,101799.00,32.10,118,60,60
367614,101795.00,32.10,118,60,60
367938,101798.00,32.10,118,60,60
368264,101795.00,32.10,118,60,60
368587,101794.00,32.10,118,60,60
368911,101798.00,32.10,118,60,60
369234,101801.00,32.10,118,60,60
369557,101799.00,32.10,118,60,60
369885,101801.00,32.10,118,60,60
370210,101801.00,32.10,118,60,60
370534,101798.00,32.10,118,60,60
370857,101799.00,32.10,118,60,60
371181,101796.00,32.10,118,60,60
371504,101800.00,32.10,118,60,60
371827,101800.00,32.10,118,60,60
372151,101803.00,32.10,118,60,61
372474,101802.00,32.10,118,60,61
372797,101794.00,32.10,118,60,60
373124,101792.00,32.10,118,60,61
373447,101792.00,32.10,118,60,61
373770,101792.00,32.10,118,61,60
374093,101792.00,32.10,118,61,61
374417,101788.00,32.10,118,61,61
374740,101795.00,32.10,118,60,61
375063,101795.00,32.10,118,60,60
375387,101794.00,32.10,118,60,61
375710,101796.00,32.10,118,61,61
376034,101794.00,32.10,118,61,61
376356,101800.00,32.10,118,60,61
376680,101803.00,32.10,118,61,61
377004,101797.00,32.10,118,61,61
377327,101797.00,32.10,118,60,60
377650,101799.00,32.10,118,61,61
377976,101798.00,32.10,118,60,61
378300,101799.00,32.10,118,61,61
378622,101800.00,32.10,118,61,61
378946,101799.00,32.20,118,60,61
379270,101798.00,32.20,118,60,61
379597,101799.00,32.20,118,61,61
379923,101800.00,32.20,118,60,61
380246,101797.00,32.20,118,60,61
380569,101797.00,32.20,118,61,60
380893,101797.00,32.20,118,61,61
381216,101795.00,32.20,118,60,61
381539,101799.00,32.20,118,60,61
381862,101797.00,32.20,118,61,61
382186,101794.00,32.20,118,61,61
382510,101794.00,32.20,118,61,61
382835,101798.00,32.20,118,60,61
383159,101798.00,32.20,118,61,61
383482,101797.00,32.20,118,61,61
383805,101799.00,32.20,118,61,61
384129,101796.00,32.20,118,61,61
384452,101797.00,32.20,118,61,61
384776,101799.00,32.20,118,61,61
385098,101803.00,32.20,118,61,61
385422,101799.00,32.20,118,61,61
385745,101796.00,32.20,118,61,61
386069,101796.00,32.20,118,61,61
386392,101798.00,32.20,118,61,61
386715,101794.00,32.20,118,61,61
387039,101795.00,32.20,118,61,61
387362,101793.00,32.20,118,61,61
387688,101794.00,32.20,118,61,61
388012,101792.00,32.20,118,61,61
388335,101791.00,32.20,118,61,61
388658,101791.00,32.20,118,61,61
388981,101792.00,32.20,118,61,61
389309,101795.00,32.20,118,61,61
389635,101792.00,32.20,118,61,61
389958,101792.00,32.20,118,61,61
390281,101787.00,32.20,118,61,61
390604,101795.00,32.20,118,61,61
390928,101794.00,32.20,118,61,61
391251,101795.00,32.20,118,61,61
391575,101789.00,32.20,118,61,61
391898,101794.00,32.20,118,61,61
392221,101795.00,32.20,117,61,61
392548,101794.00,32.20,117,61,61
392870,101789.00,32.20,118,61,61
393194,101791.00,32.20,117,61,61
393518,101792.00,32.20,117,61,61
393841,101795.00,32.20,117,61,61
394164,101797.00,32.20,117,61,61
394487,101796.00,32.20,117,61,61
394811,101797.00,32.20,117,61,61
395134,101795.00,32.20,117,61,61
395457,101794.00,32.20,117,61,61
395781,101793.00,32.20,117,61,61
396104,101790.00,32.20,117,61,61
396428,101791.00,32.20,117,61,61
396750,101791.00,32.20,117,61,61
397074,101795.00,32.30,117,61,61
397401,101797.00,32.30,117,61,61
397723,101793.00,32.30,117,61,61
398047,101792.00,32.30,117,61,61
398369,101792.00,32.30,117,61,61
398693,101793.00,32.30,117,61,61
399021,101793.00,32.30,117,61,61
399346,101793.00,32.30,117,61,61
399670,101789.00,32.30,117,61,61
399992,101788.00,32.30,117,61,61
400316,101793.00,32.30,117,61,61
400640,101787.00,32.30,117,61,61
400962,101789.00,32.30,117,61,61
401286,101793.00,32.30,117,61,61
401608,101786.00,32.30,117,61,61
401932,101787.00,32.30,117,61,61
402257,101785.00,32.30,117,61,61
402581,101787.00,32.30,117,61,61
402905,101789.00,32.30,117,61,61
403227,101789.00,32.30,117,61,61
403551,101792.00,32.30,117,61,61
403874,101796.00,32.30,117,61,61
404197,101794.00,32.30,117,61,61
404520,101792.00,32.30,117,61,61
404844,101792.00,32.30,117,61,61
405167,101789.00,32.30,117,61,61
405490,101790.00,32.30,117,61,61
405813,101791.00,32.30,117,61,61
406136,101784.00,32.30,117,61,61
406460,101792.00,32.30,117,61,61
406782,101788.00,32.30,117,61,61
407109,101789.00,32.30,117,61,61
407433,101792.00,32.30,117,61,61
407755,101784.00,32.30,117,61,61
408079,101788.00,32.30,117,61,61
408402,101792.00,32.30,117,61,61
408726,101791.00,32.30,117,61,61
409055,101788.00,32.30,117,61,61
409379,101791.00,32.30,117,61,61
409703,101787.00,32.30,117,61,61
410025,101787.00,32.30,117,61,61
410349,101792.00,32.30,117,61,61
410673,101795.00,32.30,117,61,61
410996,101788.00,32.30,117,61,61
411320,101786.00,32.30,117,61,61
411642,101792.00,32.30,117,61,61
411966,101787.00,32.30,117,61,61
412288,101791.00,32.40,117,61,61
412610,101787.00,32.40,117,61,61
412934,101788.00,32.40,117,61,61
413257,101789.00,32.40,117,61,61
413581,101789.00,32.40,117,61,61
413904,101787.00,32.40,117,61,61
414227,101786.00,32.40,117,61,61
414551,101790.00,32.40,117,61,61
414874,101786.00,32.40,117,61,61
415198,101787.00,32.40,117,61,61
415520,101789.00,32.40,117,61,61
415844,101787.00,32.40,117,61,61
416167,101792.00,32.40,117,61,61
416491,101788.00,32.40,117,61,61
416814,101786.00,32.40,117,61,61
417140,101790.00,32.40,117,61,61
417464,101791.00,32.40,117,61,61
417787,101791.00,32.40,117,61,61
418111,101794.00,32.40,117,61,61
418435,101791.00,32.40,117,61,61
418762,101790.00,32.40,117,61,61
419088,101790.00,32.40,118,61,61
419410,101787.00,32.40,118,61,61
419734,101787.00,32.40,118,61,61
420058,101788.00,32.40,118,61,61
420381,101790.00,32.40,118,61,61
420705,101787.00,32.40,118,61,61
421028,101786.00,32.40,118,61,61
421351,101787.00,32.40,118,61,61
421675,101793.00,32.40,118,61,61
422001,101787.00,32.40,118,61,61
422324,101792.00,32.50,118,61,61
422647,101791.00,32.50,118,61,61
422971,101790.00,32.50,118,61,61
423294,101794.00,32.50,118,61,61
423618,101792.00,32.50,118,61,61
423942,101799.00,32.50,118,61,61
424265,101792.00,32.50,118,61,61
424589,101790.00,32.50,118,61,61
424912,101790.00,32.50,118,61,61
425236,101790.00,32.50,118,61,61
425560,101790.00,32.50,118,61,61
425882,101789.00,32.50,118,61,61
426206,101785.00,32.50,118,61,61
426529,101793.00,32.50,118,61,61
426856,101789.00,32.50,118,61,61
427179,101784.00,32.50,118,61,61
427502,101789.00,32.50,118,61,61
427826,101788.00,32.50,118,61,61
428149,101788.00,32.50,118,61,61
428477,101789.00,32.50,118,61,61
428804,101785.00,32.50,118,61,61
429126,101792.00,32.50,118,61,61
429450,101792.00,32.50,118,61,61
429773,101787.00,32.50,118,61,61
430097,101791.00,32.50,118,61,61
430420,101793.00,32.50,118,61,61
430744,101790.00,32.50,118,61,61
431068,101792.00,32.50,118,61,61
431391,101794.00,32.50,118,61,61
431718,101790.00,32.50,118,61,61
432041,101792.00,32.50,118,61,61
432365,101787.00,32.50,118,61,61
432688,101787.00,32.50,118,61,61
433011,101790.00,32.50,117,61,61
433335,101790.00,32.50,117,61,61
433658,101789.00,32.50,117,61,61
433982,101791.00,32.50,117,61,61
434306,101783.00,32.50,117,61,61
434629,101785.00,32.50,117,61,61
434953,101786.00,32.50,117,61,61
435276,101786.00,32.50,117,61,61
435600,101789.00,32.50,117,61,61
435923,101787.00,32.50,117,61,61
436247,101781.00,32.50,117,61,61
436573,101784.00,32.50,117,61,61
436896,101791.00,32.60,117,61,61
437220,101792.00,32.60,117,61,61
437543,101792.00,32.60,117,61,61
437866,101790.00,32.60,117,61,61
438194,101789.00,32.60,117,61,61
438519,101785.00,32.60,117,61,61
438843,101789.00,32.60,117,61,61
439166,101788.00,32.60,117,61,61
439490,101788.00,32.60,117,61,61
439814,101786.00,32.60,117,61,61
440136,101789.00,32.60,117,61,61
440460,101789.00,32.60,117,61,61
440783,101793.00,32.60,117,61,61
441107,101791.00,32.60,117,61,61
441433,101791.00,32.60,117,61,61
441756,101791.00,32.60,117,61,61
442080,101788.00,32.60,117,61,61
442403,101793.00,32.60,117,61,61
442726,101790.00,32.60,117,61,61
443049,101794.00,32.60,117,61,61
443373,101794.00,32.60,117,61,61
443697,101795.00,32.60,117,61,61
444019,101795.00,32.60,117,61,61
444343,101792.00,32.60,117,61,61
444666,101795.00,32.60,117,61,61
444990,101793.00,32.60,117,61,61
445314,101794.00,32.60,117,61,61
445636,101793.00,32.60,117,61,61
445960,101791.00,32.60,117,61,61
446286,101789.00,32.60,117,61,61
446610,101794.00,32.60,117,61,61
446934,101793.00,32.60,117,61,61
447256,101789.00,32.60,117,61,61
447580,101791.00,32.60,117,61,61
447903,101791.00,32.60,117,61,61
448233,101794.00,32.60,117,61,61
448558,101791.00,32.60,117,61,61
448880,101798.00,32.70,117,61,61
449204,101795.00,32.60,117,61,61
449527,101793.00,32.60,117,61,61
449851,101800.00,32.70,117,61,61
450174,101799.00,32.70,117,61,61
450498,101797.00,32.70,117,61,61
450821,101799.00,32.70,117,61,61
451147,101799.00,32.70,117,61,61
451471,101795.00,32.70,117,61,61
451794,101797.00,32.70,117,61,61
452117,101799.00,32.70,117,61,61
452486,101799.00,32.70,117,61,61
452809,101800.00,32.70,117,61,61
453132,101795.00,32.70,117,61,61
453455,101799.00,32.70,117,61,61
453779,101799.00,32.70,117,61,61
454103,101801.00,32.70,116,61,61
454425,101797.00,32.70,116,61,61
454749,101798.00,32.70,116,61,61
455072,101797.00,32.70,116,61,61
455396,101799.00,32.70,116,61,61
455718,101803.00,32.70,116,61,61
456045,101801.00,32.70,116,61,61
456369,101799.00,32.70,116,61,61
456691,101800.00,32.70,116,61,61
457015,101801.00,32.70,116,61,61
457338,101799.00,32.70,116,61,61
457662,101800.00,32.70,116,61,61
457992,101800.00,32.70,116,61,61
458315,101800.00,32.70,116,61,61
458638,101802.00,32.70,116,61,61
458961,101806.00,32.70,116,61,61
459285,101804.00,32.70,116,61,61
459609,101804.00,32.70,116,61,61
459931,101798.00,32.70,116,61,61
460255,101803.00,32.70,116,61,61
460578,101801.00,32.70,116,61,61
460904,101795.00,32.70,116,61,61
461228,101799.00,32.70,116,61,61
461551,101795.00,32.70,116,61,61
461875,101793.00,32.70,116,61,61
462197,101794.00,32.70,116,61,61
462521,101799.00,32.70,116,61,61
462844,101794.00,32.70,115,61,61
463168,101792.00,32.70,115,61,61
463491,101791.00,32.70,115,61,61
463814,101793.00,32.70,115,61,61
464138,101791.00,32.70,115,61,61
464461,101793.00,32.70,115,61,61
464784,101793.00,32.70,115,61,61
465107,101801.00,32.80,115,61,61
465431,101794.00,32.70,115,61,61
465757,101801.00,32.80,115,61,61
466080,101798.00,32.80,114,61,61
466404,101801.00,32.80,114,61,61
466727,101798.00,32.80,114,61,61
467050,101800.00,32.80,114,61,61
467374,101797.00,32.80,114,61,61
467703,101798.00,32.80,114,61,61
468027,101794.00,32.80,114,61,61
468350,101798.00,32.80,114,61,61
468674,101792.00,32.80,114,61,61
468998,101791.00,32.80,114,61,61
469321,101792.00,32.80,114,61,61
469644,101794.00,32.80,114,61,61
469967,101792.00,32.80,114,61,61
470291,101795.00,32.80,114,61,61
470617,101794.00,32.80,114,61,61
470940,101795.00,32.80,114,61,61
471264,101797.00,32.80,114,61,61
471587,101792.00,32.80,114,61,61
471910,101798.00,32.80,114,61,61
472233,101796.00,32.80,113,61,61
472557,101796.00,32.80,113,61,61
472881,101797.00,32.80,113,61,61
473204,101795.00,32.80,113,61,61
473527,101801.00,32.80,113,61,61
473850,101799.00,32.80,113,61,61
474174,101798.00,32.80,113,61,61
474498,101801.00,32.80,113,61,61
474820,101797.00,32.80,113,61,61
475144,101797.00,32.80,113,61,61
475470,101793.00,32.80,113,61,61
475793,101796.00,32.80,113,61,61
476116,101794.00,32.80,113,61,61
476440,101791.00,32.80,113,61,61
476763,101793.00,32.80,113,61,61
477086,101796.00,32.80,113,61,61
477416,101795.00,32.80,113,61,61
477740,101796.00,32.80,113,61,61
478062,101798.00,32.80,113,61,61
478386,101797.00,32.80,113,61,61
478709,101795.00,32.80,113,61,61
479032,101795.00,32.80,113,61,61
479355,101800.00,32.80,113,61,61
479679,101795.00,32.80,113,61,61
480002,101794.00,32.80,113,61,61
480328,101795.00,32.80,113,61,61
480651,101798.00,32.80,113,61,61
480974,101794.00,32.80,113,61,61
481298,101796.00,32.80,113,61,61
481620,101799.00,32.80,113,61,61
481944,101794.00,32.80,113,61,61
482267,101795.00,32.80,113,61,61
482590,101798.00,32.80,113,61,61
482914,101796.00,32.80,113,61,61
483236,101790.00,32.80,113,61,61
483560,101790.00,32.80,113,61,61
483884,101796.00,32.80,113,61,61
484206,101798.00,32.80,113,61,61
484530,101800.00,32.90,113,61,61
484853,101798.00,32.90,113,61,61
485179,101801.00,32.90,113,61,61
485502,101796.00,32.90,113,61,61
485826,101799.00,32.90,113,61,61
486149,101797.00,32.90,113,61,61
486472,101795.00,32.90,113,61,61
486796,101799.00,32.90,113,61,61
487123,101795.00,32.90,113,61,61
487449,101796.00,32.90,113,61,61
487773,101794.00,32.90,113,61,61
488096,101792.00,32.90,113,61,61
488419,101794.00,32.90,113,61,61
488742,101796.00,32.90,113,61,61
489066,101797.00,32.90,113,61,61
489390,101794.00,32.90,113,61,61
489713,101800.00,32.90,113,61,61
490039,101794.00,32.90,113,60,61
490362,101793.00,32.90,113,60,61
490686,101799.00,32.90,113,60,61
491009,101796.00,32.90,113,61,61
491332,101799.00,32.90,113,61,61
491656,101800.00,32.90,113,61,61
491979,101794.00,32.90,113,61,61
492302,101794.00,32.90,113,61,61
492625,101797.00,32.90,112,61,61
492949,101793.00,32.90,113,61,61
493273,101792.00,32.90,112,61,61
493595,101791.00,32.90,112,60,61
493919,101797.00,32.90,112,61,61
494242,101797.00,32.90,112,61,61
494566,101796.00,32.90,112,61,60
494888,101796.00,32.90,112,61,61
495210,101791.00,32.90,112,60,61
495534,101798.00,32.90,112,60,60
495857,101796.00,32.90,112,60,61
496180,101793.00,32.90,112,60,60
496503,101797.00,32.90,112,60,60
496827,101797.00,32.90,112,60,60
497157,101798.00,32.90,112,60,60
497480,101793.00,32.90,112,60,61
497804,101797.00,32.90,112,60,60
498126,101794.00,32.90,112,61,61
498450,101795.00,32.90,112,60,60
498774,101795.00,32.90,112,60,61
499097,101796.00,32.90,112,60,60
499421,101798.00,32.90,112,61,61
499743,101798.00,32.90,112,60,61
500070,101789.00,32.90,112,60,61
